id_objet,nom_objet,auteur_objet,type_objet,categorie_picto,type_vase,matiere_filtre,lieu_creation_nom,lieu_creation_pays,lieu_creation_geoloc,lieu_creation_long,date_creation_debut,date_creation_fin,lieu_decouverte_nom,lieu_decouverte_geoloc,lieu_decouverte_pays,conservation_nom,conservation_ville,conservation_pays,lieu_conservation_geoloc,lieu_conservation_long,URL_objet_AGORHA,image_exists
144534,Candélabre étrusque,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144534,0
144556,Candélabre étrusque,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144556,1
144570,Candélabre étrusque,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144570,1
144559,Candélabre étrusque surmonté d'une figurine masculine nue,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Vulci,"42.4192224, 11.6286618333",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144559,1
144558,Eléments d'un candélabre étrusque,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144558,1
141598,Thymiatérion étrusque,,candélabre,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-400,-300,Vulci,"42.4192224, 11.6286618333",Italie,Musée Antoine Vivenel,Compiègne,France,"49.417635, 2.821754",2.821754,http://agorha.inha.fr/inhaprod/ark:/54721/003141598,1
144525,Casque italique en bronze,,casque,arme,,métal,Italie,Italie,"42.431724, 12.947691",12.947691,-400,-300,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144525,1
144538,Couronne funéraire en or,,couronne,bijou,,métal précieux,Italie,Italie,"42.431724, 12.947691",12.947691,-350,-300,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144538,1
254853,Miroir : Athéna combattant contre un géant,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254853,0
254859,Miroir : les Dioscures devant un temple,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254859,0
254858,Miroir : les Dioscures et Hélène,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254858,0
255062,Miroir : Minerve conduisant Athanasia,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Vulci,"42.4192224, 11.6286618333",Italie,"BnF - département des Monnaies, médailles et antiques",,France,"48.86738, 2.338384",2.338384,http://agorha.inha.fr/inhaprod/ark:/54721/003255062,0
254857,Miroir : Minerve entre Hercule et Iolas,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-400,-300,Étrurie,"42.4210287479, 11.7527441248",Italie,"BnF - département des Monnaies, médailles et antiques",Paris,France,"48.86738, 2.338384",2.338384,http://agorha.inha.fr/inhaprod/ark:/54721/003254857,1
254856,Miroir : Prométhée délivré par les Dioscures,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Canino,"42.466866, 11.750919",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254856,1
254854,Miroir : satyre ithyphallique poursuivant une ménade,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254854,0
254855,Miroir : Victoire à quatre ailes,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,,,Étrurie,"42.4210287479, 11.7527441248",Italie,Localisation inconnue,,,,,http://agorha.inha.fr/inhaprod/ark:/54721/003254855,0
144577,Miroir étrusque,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-525,-450,Vulci,"42.4192224, 11.6286618333",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144577,1
144578,Miroir étrusque,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-525,-450,Vulci,"42.4192224, 11.6286618333",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144578,1
144576,Miroir étrusque,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-525,-450,Vulci,"42.4192224, 11.6286618333",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144576,1
144574,Miroir étrusque,,miroir,mobilier / instrument,,métal,Étrurie,Italie,"42.4210287479, 11.7527441248",11.7527441248,-470,-450,Étrurie,"42.4210287479, 11.7527441248",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144574,1
144462,Deux haltères en plomb,,objet civil domestique,mobilier / instrument,,métal,Grèce,Grèce,"39.295346, 22.035132",22.035132,,,Vulci,"42.4192224, 11.6286618333",Italie,British Museum,Londres,Royaume-Uni,"51.519533, -0.127000",-0.127000,http://agorha.inha.fr/inhaprod/ark:/54721/003144462,1
