item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q23315502,...Dans le bonheur,...Dans le bonheur-Diadji Diop,Diadji Diop,2009,,"48.8351, 2.4085"
http://www.wikidata.org/entity/Q2813480,1SQMH,1SQMH-Didier Fiuza Faustino,Didier Fiuza Faustino,2006,,"48.821111, 2.368889"
http://www.wikidata.org/entity/Q23638008,2551913,2551913-Bert Theis,Bert Theis,2013,,"48.882, 2.3992"
http://www.wikidata.org/entity/Q18335816,3 arcs de néon inclinés à 0°-90°-45°,3 arcs de néon inclinés à 0°-90°-45°-François Morellet,François Morellet,2014,http://commons.wikimedia.org/wiki/Special:FilePath/3%20arCs%20de%20n%C3%A9on%20inClin%C3%A9s%20%C3%80%200%C2%B0%2C%2090%C2%B0%2C%2045%C2%B0%20-%20Fran%C3%A7ois%20Morellet%20-%20Nuit%20blanche%202014%20-%20Paris.jpg,"48.8457, 2.3182"
http://www.wikidata.org/entity/Q23646414,À Albert Camus,À Albert Camus-Michel Poix,Michel Poix,1986,http://commons.wikimedia.org/wiki/Special:FilePath/%22A%20Albert%20Camus%22%20%2816968340905%29.jpg,"48.8779, 2.3696"
http://www.wikidata.org/entity/Q2821546,Abellio,Abellio-Aglaé Libéraki,Aglaé Libéraki,1971,,"48.848438, 2.359553"
http://www.wikidata.org/entity/Q23313024,À cœur ouvert,À cœur ouvert-Oleg Goudcoff,Oleg Goudcoff,1966,,"48.8389, 2.4456"
http://www.wikidata.org/entity/Q18191179,Aimé Millet,Aimé Millet-Émile Bogino,Émile Bogino,1888,http://commons.wikimedia.org/wiki/Special:FilePath/Aim%C3%A9%20Millet%20bust.jpg,"48.8483, 2.3349"
http://www.wikidata.org/entity/Q19969041,Allégorie de la Seine,Allégorie de la Seine-Louis Petitot,Louis Petitot,1846,http://commons.wikimedia.org/wiki/Special:FilePath/Seine%20Louis%20Petitot%20Pont%20Carrousel%20Paris.jpg,"48.8587, 2.3326"
http://www.wikidata.org/entity/Q23641893,Alphonse Daudet,Alphonse Daudet-René de Saint-Marceaux,René de Saint-Marceaux,1902,http://commons.wikimedia.org/wiki/Special:FilePath/Alphonse%20Daudet%20Ren%C3%A9%20de%20Saint%20Marceaux.jpg,
http://www.wikidata.org/entity/Q23310080,Amazone,Amazone-Georges Chauvel,Georges Chauvel,1937,http://commons.wikimedia.org/wiki/Special:FilePath/La%20dames%20de%20pierre%2C%20parc%20paris%2012e.jpeg,"48.8419, 2.3878"
http://www.wikidata.org/entity/Q18177085,Amazone,Amazone-Pierre Vigoureux,Pierre Vigoureux,1927,http://commons.wikimedia.org/wiki/Special:FilePath/Jardin%20des%20Plantes%20%40%20Paris%20%2833576493901%29%20%28cropped%29.jpg,"48.8442, 2.3567"
http://www.wikidata.org/entity/Q23639893,Amérique du Nord,Amérique du Nord-Ernest-Eugène Hiolle,Ernest-Eugène Hiolle,1878,http://commons.wikimedia.org/wiki/Special:FilePath/Am%C3%A9rique%20du%20Nord%20Eug%C3%A8ne%20Hiolle%20mus%C3%A9e%20d%27Orsay%20RF3748.jpg,"48.8601, 2.325"
http://www.wikidata.org/entity/Q23639894,Amérique du Sud,Amérique du Sud-Aimé Millet,Aimé Millet,1878,http://commons.wikimedia.org/wiki/Special:FilePath/Aim%C3%A9%20Millet%20am%C3%A9rique%20du%20sud%20orsay.JPG,"48.8601, 2.3249"
http://www.wikidata.org/entity/Q23593244,Amiral,Amiral-Mizui Yasuo,Mizui Yasuo,1963,,"48.8624, 2.2492"
http://www.wikidata.org/entity/Q24798244,Angel Bear,Angel Bear-Richard Texier,Richard Texier,2015,,"48.88006, 2.3548"
http://www.wikidata.org/entity/Q2849997,Animal 82,Animal 82-Liuba Kirova,Liuba Kirova,1982,,"48.848441, 2.359424"
http://www.wikidata.org/entity/Q18145882,Anne d'Autriche,Anne d'Autriche-Joseph Marius Ramus,Joseph Marius Ramus,1847,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20d%27Autriche.JPG,"48.84715, 2.33578"
http://www.wikidata.org/entity/Q18145886,Anne de Beaujeu,Anne de Beaujeu-Jacques-Édouard Gatteaux,Jacques-Édouard Gatteaux,1847,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20de%20Beaujeu.JPG,"48.84654, 2.33598"
http://www.wikidata.org/entity/Q18145883,Anne de Bretagne,Anne de Bretagne-Jean-Baptiste Joseph Debay,Jean-Baptiste Joseph Debay,1846,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20de%20Bretagne.JPG,"48.84746, 2.33623"
http://www.wikidata.org/entity/Q18145887,Anne-Marie-Louise d'Orléans,Anne-Marie-Louise d'Orléans-Camille Demesmay,Camille Demesmay,1848,http://commons.wikimedia.org/wiki/Special:FilePath/Anne-Marie%20Louise%20d%27Orl%C3%A9ans.JPG,"48.84623, 2.3379"
http://www.wikidata.org/entity/Q18191112,Antoine Barye,Antoine Barye-François-Raoul Larche,François-Raoul Larche,1888,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Louis%20Barye%20bust.jpg,"48.8482, 2.3346"
http://www.wikidata.org/entity/Q18191113,Antoine Gros,Antoine Gros-Joseph Félon,Joseph Félon,1888,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine-Jean%20Gros%20-%20Portrait%20of%20Count%20Jean-Antoine%20Chaptal%20-%201964.54%20-%20Cleveland%20Museum%20of%20Art.tiff,"48.8482, 2.3339"
http://www.wikidata.org/entity/Q23593498,Apollon musagète,Apollon musagète-Henri Bouchard,Henri Bouchard,1937,,"48.8625, 2.2889"
http://www.wikidata.org/entity/Q18191115,Archidamas,Archidamas-Henri Lemaire,Henri Lemaire,1887,http://commons.wikimedia.org/wiki/Special:FilePath/Archidamas%20by%20Henri%20Lemaire%2C%20Luxembourg%20Gardens%2C%20Paris%2017%20November%202015.jpg,"48.846, 2.3332"
http://www.wikidata.org/entity/Q23639895,Asie,Asie-Alexandre Falguière,Alexandre Falguière,1878,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Joseph-Alexandre%20Falgui%C3%A8re%20-%20L%27Asie.JPG,"48.86, 2.325"
